         Part Number        Quantity    Unit Cost   Unit Price      Total Cost     Total Price
            83391843              30        20.31        23.67          609.30          710.10
            68740451               3        10.94        16.14           32.82           48.42
            43849621              22        20.16        23.82          443.52          524.04
            54036898              68        10.71        13.78          728.28          937.04
            72660734              37        22.74        27.19          841.38         1006.03
            34171236              19        24.01        29.29          456.19          556.51
            49493175              39        14.55        19.03          567.45          742.17
            73831091              86        25.67        30.20         2207.62         2597.20
            56664402              75        12.40        15.93          930.00         1194.75
            60384491              55        28.17        32.53         1549.35         1789.15
            39421903              19        10.45        16.29          198.55          309.51
            33686751              46        20.10        23.74          924.60         1092.04
            37055841              87        19.81        24.45         1723.47         2127.15
            85699860              21        20.28        23.37          425.88          490.77
            68324629               6        24.98        30.61          149.88          183.66
            76076746              64        15.72        19.29         1006.08         1234.56
            41610696               9        14.03        17.30          126.27          155.70
            56044625              77        26.84        30.00         2066.68         2310.00
            37761798              48        13.31        17.97          638.88          862.56
            35631998              79        25.89        29.56         2045.31         2335.24
            15276046              96        15.72        19.42         1509.12         1864.32
            36511952              85        13.32        17.87         1132.20         1518.95
            58045576              64        10.51        16.20          672.64         1036.80
            77643941              27        13.18        16.62          355.86          448.74
            72247784              90        11.52        17.26         1036.80         1553.40
            88491828              34        29.57        34.24         1005.38         1164.16
            34389249              83        17.68        22.58         1467.44         1874.14
            44137228              61        23.26        27.46         1418.86         1675.06
            79334055              46        26.54        30.77         1220.84         1415.42
            19103941              66        25.55        28.79         1686.30         1900.14
            17461679              54        10.76        16.74          581.04          903.96
            74435780              64        24.09        29.58         1541.76         1893.12
            12949685               6        26.89        30.96          161.34          185.76
            52614745              37        22.62        28.25          836.94         1045.25
            43984612              76        25.76        31.51         1957.76         2394.76
            49265048              58        13.50        18.90          783.00         1096.20
            43891580              46        11.44        16.13          526.24          741.98
            11458375             100        18.51        21.68         1851.00         2168.00
            80101873              62        28.13        32.28         1744.06         2001.36
            55396347              65        12.49        18.04          811.85         1172.60
            60360685              42        28.86        33.14         1212.12         1391.88
            36020570              22        15.27        19.78          335.94          435.16
            51080942              56        23.57        29.09         1319.92         1629.04
            23132529              24        24.77        28.34          594.48          680.16
            56953445              35        21.16        25.85          740.60          904.75
            46132369              64        28.23        32.34         1806.72         2069.76
            82258988              50        17.04        20.76          852.00         1038.00
            63706075              21        15.39        21.26          323.19          446.46
            38561693              47        18.00        22.00          846.00         1034.00
            53016903              16        11.19        15.79          179.04          252.64
            29022294              63        14.43        18.23          909.09         1148.49
            31353041              28        21.82        27.67          610.96          774.76
            73556705              24        21.20        25.96          508.80          623.04
            71529535              21        27.36        31.04          574.56          651.84
            47533952              96        11.85        15.79         1137.60         1515.84
            83762728              45        22.25        25.31         1001.25         1138.95
            22662424               1        11.84        15.28           11.84           15.28
            66910032              10        12.87        17.11          128.70          171.10
            88046718              25        22.56        27.49          564.00          687.25
            60123854              80        22.90        26.34         1832.00         2107.20
            57739204               1        23.02        27.52           23.02           27.52
            80858072              98        13.32        16.89         1305.36         1655.22
            26782989              32        17.16        20.93          549.12          669.76
            35304393              38        29.75        33.66         1130.50         1279.08
            53741016              54        23.69        27.10         1279.26         1463.40
            83740526              23        19.56        22.59          449.88          519.57
            75541722              78        22.80        25.97         1778.40         2025.66
            39898842               8        20.69        25.42          165.52          203.36
            81138617              46        15.15        19.76          696.90          908.96
            31081490               1        20.71        24.06           20.71           24.06
            39941194              44        19.12        23.33          841.28         1026.52
            69384947              99        12.41        16.75         1228.59         1658.25
            27270146              81        23.52        27.65         1905.12         2239.65
            28458648              97        19.67        22.73         1907.99         2204.81
            68262175              92        19.83        24.50         1824.36         2254.00
            21552284              30        10.40        15.18          312.00          455.40
            77435552              39        12.08        17.33          471.12          675.87
            16768461              35        10.07        15.28          352.45          534.80
            62839762              93        14.75        20.19         1371.75         1877.67
            21314622              60        18.99        24.19         1139.40         1451.40
            74627727              31        23.93        28.06          741.83          869.86
            18870895              77        22.80        26.50         1755.60         2040.50
            40095023              62        18.63        24.31         1155.06         1507.22
            15555649              71        18.67        22.08         1325.57         1567.68
            43771833              50        18.24        21.52          912.00         1076.00
            80203561               4        28.03        32.89          112.12          131.56
            72874936               5        18.34        22.96           91.70          114.80
            49559225              94        21.63        27.14         2033.22         2551.16
            52715440              86        16.72        20.05         1437.92         1724.30
            19784361               6        18.19        21.20          109.14          127.20
            31050885              78        18.33        21.95         1429.74         1712.10
            71540862              46        25.58        30.30         1176.68         1393.80
            64853503              41        12.51        16.82          512.91          689.62
            24388225              28        17.90        22.64          501.20          633.92
            37195393              94        25.99        29.97         2443.06         2817.18
            28232368              63        19.07        23.98         1201.41         1510.74
            71733835              17        22.36        25.67          380.12          436.39
            85699185              26        13.43        19.23          349.18          499.98
            27240862              43        28.12        31.28         1209.16         1345.04
            35303316              84        10.96        14.03          920.64         1178.52
            22877827               6        16.46        21.19           98.76          127.14
            49045379              25        14.14        19.04          353.50          476.00
            69358897              32        23.73        28.73          759.36          919.36
            42770709              50        12.19        15.44          609.50          772.00
            27176633              51        12.76        16.22          650.76          827.22
            60027243              72        19.48        24.93         1402.56         1794.96
            49052689              79        23.14        27.68         1828.06         2186.72
            36760711              52        18.94        23.46          984.88         1219.92
            52968876              99        11.77        17.62         1165.23         1744.38
            18398033              13        29.16        32.22          379.08          418.86
            17327188              41        23.79        28.18          975.39         1155.38
            78907535              46        22.91        27.32         1053.86         1256.72
            50040763              32        14.71        20.02          470.72          640.64
            67167784               7        20.82        24.08          145.74          168.56
            21323997              81        12.74        16.19         1031.94         1311.39
            54979164              83        21.06        25.15         1747.98         2087.45
            86767861              93        16.94        22.43         1575.42         2085.99
            42884653              91        15.56        19.32         1415.96         1758.12
            52700852              67        28.70        31.79         1922.90         2129.93
            65537294              64        21.96        27.57         1405.44         1764.48
            50134836               8        27.71        31.48          221.68          251.84
            88301639              13        23.37        27.32          303.81          355.16
            85466608              62        12.70        16.12          787.40          999.44
            71387635              81        14.74        17.92         1193.94         1451.52
            88189478              86        15.24        19.55         1310.64         1681.30
            14366464              32        10.12        15.81          323.84          505.92
            44928407              38        14.42        20.03          547.96          761.14
            70692724               6        19.41        22.88          116.46          137.28
            21098319              27        16.73        20.84          451.71          562.68
            38917581              77        26.47        31.07         2038.19         2392.39
            43151607              65        13.59        19.16          883.35         1245.40
            88563106              11        11.74        16.01          129.14          176.11
            60716308              47        20.86        26.78          980.42         1258.66
            15917508              81        28.92        31.96         2342.52         2588.76
            47216256              83        24.21        30.02         2009.43         2491.66
            64382696              86        15.98        20.57         1374.28         1769.02
            15388347              59        27.85        32.62         1643.15         1924.58
            38280325              17        12.94        16.01          219.98          272.17
            80581530              95        11.64        15.99         1105.80         1519.05
            83637016              69        27.45        31.72         1894.05         2188.68
            30418386              42        23.72        28.11          996.24         1180.62
            72216160               2        10.67        14.72           21.34           29.44
            65915441              71        18.19        24.01         1291.49         1704.71
            34189844              93        16.77        20.93         1559.61         1946.49
            81106814               9        12.55        17.38          112.95          156.42
            14578137              41        16.99        21.27          696.59          872.07
            50036717               8        24.69        28.73          197.52          229.84
            43510588              29        25.05        29.18          726.45          846.22
            50317035              30        22.64        25.68          679.20          770.40
            55473817              57        19.13        22.13         1090.41         1261.41
            63435178              55        22.04        27.16         1212.20         1493.80
            40278707              84        20.15        24.30         1692.60         2041.20
            73324460              35        13.12        18.60          459.20          651.00
            21523085              56        18.54        22.90         1038.24         1282.40
            33429908              40        26.09        30.14         1043.60         1205.60
            76427814              70        21.25        24.36         1487.50         1705.20
            22142782              41        17.65        21.80          723.65          893.80
            67515582              61        17.43        20.59         1063.23         1255.99
            55263273              42        18.62        22.22          782.04          933.24
            64418724               9        21.15        25.22          190.35          226.98
            78122228              85        13.73        18.55         1167.05         1576.75
            11303142              47        10.56        16.35          496.32          768.45
            18659990              43        15.01        20.76          645.43          892.68
            26923610              35        21.70        25.06          759.50          877.10
            28810429              81        29.49        33.01         2388.69         2673.81
            31917171              58        23.27        27.29         1349.66         1582.82
            87553231              70        23.79        28.20         1665.30         1974.00
            33483040              55        24.25        28.48         1333.75         1566.40
            72771191               3        17.78        23.31           53.34           69.93
            12968942              80        18.72        22.47         1497.60         1797.60
            71351528              91        18.02        21.76         1639.82         1980.16
            77189549              21        21.15        24.64          444.15          517.44
            46738486              38        14.87        19.44          565.06          738.72
            14375908              58        15.24        19.87          883.92         1152.46
            59128090              11        16.39        20.12          180.29          221.32
            56884152               4        15.70        21.26           62.80           85.04
            36473623              16        15.21        19.89          243.36          318.24
            17358405              66        15.82        21.08         1044.12         1391.28
            27470967              10        16.17        20.36          161.70          203.60
            12880478              18        24.61        30.20          442.98          543.60
            81296480              90        25.59        31.13         2303.10         2801.70
            42978025              89        27.65        33.36         2460.85         2969.04
            18977685              81        16.39        20.36         1327.59         1649.16
            65014865              54        28.95        34.28         1563.30         1851.12
            40036792              65        17.31        23.16         1125.15         1505.40
            31396612              63        15.52        21.11          977.76         1329.93
            68849001              21        11.90        15.56          249.90          326.76
            54366510              24        13.73        18.58          329.52          445.92
            55371335              27        18.18        23.50          490.86          634.50
            40176566              78        23.29        29.24         1816.62         2280.72
            63689991              40        26.49        31.87         1059.60         1274.80
            80955309               3        16.51        20.07           49.53           60.21
            73833666              69        21.75        26.11         1500.75         1801.59
            55842246              48        15.98        21.43          767.04         1028.64
            28342656               2        26.18        30.82           52.36           61.64
            28062267              47        14.68        18.06          689.96          848.82
            17103483              86        24.10        27.36         2072.60         2352.96
            43436020              40        25.86        30.99         1034.40         1239.60
            54221156              93        13.04        18.12         1212.72         1685.16
            72587977              76        24.53        29.75         1864.28         2261.00
            32827437               8        20.49        24.73          163.92          197.84
            48583427              80        15.99        20.68         1279.20         1654.40
            51138886              14        29.87        34.45          418.18          482.30
            13201627              70        18.12        24.09         1268.40         1686.30
            38072280              17        22.95        28.65          390.15          487.05
            49300488              61        10.69        16.28          652.09          993.08
            53518629              69        11.66        17.49          804.54         1206.81
            21390393              99        10.14        14.09         1003.86         1394.91
            18982295              44        21.43        25.71          942.92         1131.24
            64463514               1        15.90        19.22           15.90           19.22
            70811150              90        27.85        33.48         2506.50         3013.20
            54404663              50        25.23        29.16         1261.50         1458.00
            37303335              98        14.00        19.04         1372.00         1865.92
            77514121              29        23.08        26.38          669.32          765.02
            44544249               3        26.55        30.19           79.65           90.57
            22387159              81        13.54        19.15         1096.74         1551.15
            28069210              27        12.45        16.94          336.15          457.38
            35539581              17        16.74        22.13          284.58          376.21
            44493871              38        21.74        24.88          826.12          945.44
            13045439              80        20.24        24.00         1619.20         1920.00
            38932471              34        12.93        17.33          439.62          589.22
            14379934              45        29.70        33.17         1336.50         1492.65
            30739126              14        27.83        33.29          389.62          466.06
            43416112              72        25.53        28.62         1838.16         2060.64
            32407988              15        28.85        34.65          432.75          519.75
            35141667              98        21.15        26.43         2072.70         2590.14
            57978117              10        28.15        33.61          281.50          336.10
            84001619               3        20.58        24.48           61.74           73.44
            29435965              39        25.28        31.23          985.92         1217.97
            58810322               4        19.17        25.03           76.68          100.12
            34311148              62        12.77        18.19          791.74         1127.78
            61130267              34        10.88        14.34          369.92          487.56
            77085365              41        22.53        26.66          923.73         1093.06
            43777863              67        16.83        20.60         1127.61         1380.20
            11531675              85        10.99        16.11          934.15         1369.35
            50310242              84        10.30        13.80          865.20         1159.20
            59474045              55        11.99        16.72          659.45          919.60
            56222908              32        15.37        20.22          491.84          647.04
            63173268               9        15.25        18.46          137.25          166.14
            82887766              39        16.82        21.55          655.98          840.45
            41721415              31        12.02        17.97          372.62          557.07
            40171345              51        17.93        21.06          914.43         1074.06
            15495526              36        16.20        20.47          583.20          736.92
            48509677               4        25.20        29.71          100.80          118.84
            69855441              96        15.56        18.77         1493.76         1801.92
            88452976              45        13.45        17.83          605.25          802.35
            31803679              94        23.14        26.61         2175.16         2501.34
            31761910              89        17.84        23.01         1587.76         2047.89
            36990628              49        28.67        33.09         1404.83         1621.41
            31665020              26        15.76        18.78          409.76          488.28
            54667311              34        13.30        17.40          452.20          591.60
            19121129              99        11.37        14.84         1125.63         1469.16
            50536431              89        26.48        29.98         2356.72         2668.22
            81735019              16        25.51        31.43          408.16          502.88
            14599689              68        21.52        26.55         1463.36         1805.40
            16618211              24        17.44        20.78          418.56          498.72
            73657743              49        19.68        23.46          964.32         1149.54
            68458253              17        18.28        21.32          310.76          362.44
            23375463              13        15.85        20.15          206.05          261.95
            86457838              45        22.84        25.86         1027.80         1163.70
            64002588              59        20.18        24.44         1190.62         1441.96
            58339617              68        13.73        18.72          933.64         1272.96
            22217524              54        10.94        15.56          590.76          840.24
            86202831              47        29.26        35.23         1375.22         1655.81
            54756389               6        10.30        13.48           61.80           80.88
            79891110               8        10.47        16.15           83.76          129.20
            35390230              73        26.80        31.99         1956.40         2335.27
            57301383              68        15.52        21.46         1055.36         1459.28
            63758855              39        11.25        14.70          438.75          573.30
            69865581              94        21.26        26.45         1998.44         2486.30
            43210345              76        11.33        14.55          861.08         1105.80
            66955027              45        26.73        30.99         1202.85         1394.55
            44603982              11        14.04        18.87          154.44          207.57
            47296985               1        10.99        15.81           10.99           15.81
            77445705              30        29.18        33.65          875.40         1009.50
            30174319              22        29.51        33.43          649.22          735.46
            82011078              13        18.39        23.28          239.07          302.64
            83582158              67        22.44        26.30         1503.48         1762.10
            36386359              60        12.09        17.21          725.40         1032.60
            76254359              49        10.58        14.73          518.42          721.77
            84179853              47        12.93        18.61          607.71          874.67
            62481686              38        27.38        31.15         1040.44         1183.70
            64349453              14        18.46        23.84          258.44          333.76
            63798705              29        25.13        30.85          728.77          894.65
            70401508              98        28.82        34.04         2824.36         3335.92
            20766559              15        17.28        21.88          259.20          328.20
            79153401              57        24.13        27.24         1375.41         1552.68
            87951178              60        18.19        23.37         1091.40         1402.20
            52555493              21        20.65        25.19          433.65          528.99
            22971931              40        17.84        23.59          713.60          943.60
            84666631              32        28.79        34.75          921.28         1112.00
            86232263              80        11.06        14.93          884.80         1194.40
            62159876              47        12.63        17.34          593.61          814.98
            23180207              23        21.63        25.79          497.49          593.17
            55344433              71        29.00        34.35         2059.00         2438.85
            71912539               9        13.96        19.25          125.64          173.25
            83480974              83        23.94        29.53         1987.02         2450.99
            58782510              80        21.90        25.49         1752.00         2039.20
            39341800              25        24.32        29.58          608.00          739.50
            62028894              95        28.44        33.25         2701.80         3158.75
            55000517              95        11.84        15.36         1124.80         1459.20
            56030075              46        18.62        22.81          856.52         1049.26
            15183855              18        24.59        29.80          442.62          536.40
            18059483              19        13.66        17.57          259.54          333.83
            85941566              18        21.95        27.00          395.10          486.00
            15431795              95        15.33        19.15         1456.35         1819.25
            36733364              69        29.72        35.59         2050.68         2455.71
            71327423              62        27.16        31.77         1683.92         1969.74
            21291543              84        21.88        27.76         1837.92         2331.84
            86414890              27        10.02        14.42          270.54          389.34
            80101956              97        23.40        28.25         2269.80         2740.25
            24718062              29        24.71        30.57          716.59          886.53
            45136408               2        12.71        15.71           25.42           31.42
            61299263              98        29.11        33.01         2852.78         3234.98
            62283911               7        15.50        21.11          108.50          147.77
            77465093              70        16.94        22.83         1185.80         1598.10
            59734200              12        25.75        31.22          309.00          374.64
            37413158              28        28.57        33.34          799.96          933.52
            79902221              71        22.07        25.66         1566.97         1821.86
            66698657              48        16.13        21.83          774.24         1047.84
            28560733              85        29.66        34.80         2521.10         2958.00
            79490708              84        10.37        15.25          871.08         1281.00
            87209284              91        27.20        31.42         2475.20         2859.22
            79065482              77        15.63        21.13         1203.51         1627.01
            82258988              50        17.04        20.76          852.00         1038.00
            40749682              96        14.45        19.50         1387.20         1872.00
            75647204              28        19.39        24.87          542.92          696.36
            44560715              50        13.19        17.67          659.50          883.50
            31641263              48        20.95        26.17         1005.60         1256.16
            34307586              41        18.20        24.14          746.20          989.74
            17800899              16        22.20        26.01          355.20          416.16
            83361455              50        10.14        16.07          507.00          803.50
            49493175              39        14.55        19.03          567.45          742.17
            28166727               8        17.58        23.34          140.64          186.72
            80437590              89        12.47        17.70         1109.83         1575.30
            40299841              50        28.50        31.89         1425.00         1594.50
            41989446              16        22.21        27.26          355.36          436.16
            53904146              33        29.37        35.22          969.21         1162.26
            70937179              64        12.78        17.75          817.92         1136.00
            62111634               1        16.41        19.97           16.41           19.97
            58445058               2        21.96        27.41           43.92           54.82
            35071419              50        18.92        22.88          946.00         1144.00
            78407458               4        16.28        21.33           65.12           85.32
            62963680              36        17.16        22.50          617.76          810.00
            14578137              41        16.99        21.27          696.59          872.07
            25372090              93        17.27        22.99         1606.11         2138.07
            52392582              78        16.69        20.31         1301.82         1584.18
            27572106              22        25.71        31.56          565.62          694.32
            69384947              99        12.41        16.75         1228.59         1658.25
            42145649              30        19.23        24.90          576.90          747.00
            15039599               1        21.53        26.95           21.53           26.95
            84777768              66        11.40        14.53          752.40          958.98
            83980353              56        20.50        25.99         1148.00         1455.44
            39458442              23        20.49        26.06          471.27          599.38
            45117011             100        19.02        24.56         1902.00         2456.00
            37948824              62        25.06        28.67         1553.72         1777.54
            58609625               1        23.58        27.78           23.58           27.78
            46621097              48        26.37        29.84         1265.76         1432.32
            57630177              38        26.52        29.81         1007.76         1132.78
            72591229              27        15.58        20.41          420.66          551.07
            53741016              54        23.69        27.10         1279.26         1463.40
            46288741              98        26.86        32.62         2632.28         3196.76
            81252880              16        14.36        18.04          229.76          288.64
            34850784              89        12.43        15.68         1106.27         1395.52
            77086674              85        18.06        23.88         1535.10         2029.80
            75799058              31        25.89        30.75          802.59          953.25
            14947415              10        16.17        21.10          161.70          211.00
            49013255              89        18.32        24.27         1630.48         2160.03
            41677726              77        14.76        18.57         1136.52         1429.89
            60289116               3        14.50        18.91           43.50           56.73
            40160899              46        10.83        14.53          498.18          668.38
            60123854              80        22.90        26.34         1832.00         2107.20
            59802180              33        13.26        17.79          437.58          587.07
            13174473              91        29.75        35.68         2707.25         3246.88
            17559533              50        24.91        30.57         1245.50         1528.50
            48635725              21        18.82        23.72          395.22          498.12
            82701870              86        10.09        15.23          867.74         1309.78
            59142280              97        20.84        25.19         2021.48         2443.43
            74877073              90        19.64        22.65         1767.60         2038.50
            77430412              70        29.20        34.45         2044.00         2411.50
            58759637              78        15.20        18.21         1185.60         1420.38
            57667879              22        16.21        22.04          356.62          484.88
            78629863               8        24.51        28.31          196.08          226.48
            79195238              21        11.38        15.86          238.98          333.06
            53717044              66        16.04        20.59         1058.64         1358.94
            27640169              59        10.52        15.35          620.68          905.65
            74543762              61        12.57        16.86          766.77         1028.46
            85598406              64        10.32        14.12          660.48          903.68
            43715790              31        27.98        31.68          867.38          982.08
            21340084              74        23.88        29.40         1767.12         2175.60
            16643747              76        20.80        26.65         1580.80         2025.40
            75268158              29        13.03        18.84          377.87          546.36
            46318094              53        13.39        18.74          709.67          993.22
            23842706              77        10.92        14.54          840.84         1119.58
            78206035              11        25.00        30.19          275.00          332.09
            49142030              36        23.15        28.01          833.40         1008.36
            31650412              77        28.82        32.43         2219.14         2497.11
            49263193              93        29.39        34.89         2733.27         3244.77
            53016903              16        11.19        15.79          179.04          252.64
            81946005              22        19.90        24.29          437.80          534.38
            77803747              70        26.72        29.74         1870.40         2081.80
            66125098              44        22.44        28.41          987.36         1250.04
            47578754              90        26.20        30.44         2358.00         2739.60
            61677125              39        27.05        32.57         1054.95         1270.23
            13258730              62        19.61        24.99         1215.82         1549.38
            46132369              64        28.23        32.34         1806.72         2069.76
            17692750              97        18.54        23.26         1798.38         2256.22
            66992188              85        29.40        33.97         2499.00         2887.45
            35262107               8        14.46        19.91          115.68          159.28
            39347416              68        18.06        23.68         1228.08         1610.24
            76147512              40        24.26        27.40          970.40         1096.00
            32895121              61        28.99        32.57         1768.39         1986.77
            34763532              86        15.68        21.17         1348.48         1820.62
            81781879              98        21.13        24.15         2070.74         2366.70
            80101873              62        28.13        32.28         1744.06         2001.36
            50743173              92        24.91        29.66         2291.72         2728.72
            56886748              18        24.94        30.92          448.92          556.56
            38944334              93        13.73        18.51         1276.89         1721.43
            22442765              20        14.24        18.39          284.80          367.80
            76601028              28        21.49        25.62          601.72          717.36
            49045379              25        14.14        19.04          353.50          476.00
            43849621              22        20.16        23.82          443.52          524.04
            44735928               9        27.18        31.76          244.62          285.84
            29691501              57        22.78        28.28         1298.46         1611.96
            85699860              21        20.28        23.37          425.88          490.77
            56827836              55        15.74        20.17          865.70         1109.35
            41610696               9        14.03        17.30          126.27          155.70
            17461679              54        10.76        16.74          581.04          903.96
            86767861              93        16.94        22.43         1575.42         2085.99
            18870895              77        22.80        26.50         1755.60         2040.50
            80858072              98        13.32        16.89         1305.36         1655.22
            58045576              64        10.51        16.20          672.64         1036.80
            34549045               7        13.67        16.67           95.69          116.69
            74497902              82        20.00        23.21         1640.00         1903.22
            35342162              75        29.91        34.65         2243.25         2598.75
            50134836               8        27.71        31.48          221.68          251.84
            69730813              84        12.39        17.64         1040.76         1481.76
            39941194              44        19.12        23.33          841.28         1026.52
            67317709              16        10.27        15.03          164.32          240.48
            71529535              21        27.36        31.04          574.56          651.84
            24467721               3        15.72        21.71           47.16           65.13
            72874936               5        18.34        22.96           91.70          114.80
            88563106              11        11.74        16.01          129.14          176.11
            68740451               3        10.94        16.14           32.82           48.42
            88304184              84        18.55        23.14         1558.20         1943.76
            81379037              14        27.74        31.56          388.36          441.84
            86012790               1        11.18        15.75           11.18           15.75
            16768461              35        10.07        15.28          352.45          534.80
            77643941              27        13.18        16.62          355.86          448.74
            59333352              73        25.88        29.43         1889.24         2148.39
            57739204               1        23.02        27.52           23.02           27.52
            88301639              13        23.37        27.32          303.81          355.16
            85525597              18        17.05        22.42          306.90          403.56
            19103941              66        25.55        28.79         1686.30         1900.14
            60716308              47        20.86        26.78          980.42         1258.66
            79170842              16        29.59        34.75          473.44          556.00
            43941327              31        12.59        16.54          390.29          512.74
            60683021               2        18.36        23.75           36.72           47.50
            74435780              64        24.09        29.58         1541.76         1893.12
            52614745              37        22.62        28.25          836.94         1045.25
            35631998              79        25.89        29.56         2045.31         2335.24
            71852096              57        26.92        30.71         1534.44         1750.47
            14375908              58        15.24        19.87          883.92         1152.46
            60360685              42        28.86        33.14         1212.12         1391.88
            88550476              20        21.62        24.86          432.40          497.20
            39635549               8        28.02        33.32          224.16          266.56
            60410146              21        26.93        32.34          565.53          679.14
            35537534              60        27.18        32.16         1630.80         1929.60
            36473623              16        15.21        19.89          243.36          318.24
            43416112              72        25.53        28.62         1838.16         2060.64
            58485457               5        23.64        28.18          118.20          140.90
            64853503              41        12.51        16.82          512.91          689.62
            46182485              57        11.19        15.73          637.83          896.61
            58038988              62        13.42        17.69          832.04         1096.78
            28069210              27        12.45        16.94          336.15          457.38
            37511487              37        25.77        30.34          953.49         1122.58
            65237455              56        12.63        17.39          707.28          973.84
            65014865              54        28.95        34.28         1563.30         1851.12
            29134137              49        13.61        18.81          666.89          921.69
            22231544              65        23.11        28.16         1502.15         1830.40
            18082546              53        23.34        29.03         1237.02         1538.59
            25725760              15        26.82        32.17          402.30          482.55
            18422552             100        22.06        27.26         2206.00         2726.00
            51080942              56        23.57        29.09         1319.92         1629.04
            80203561               4        28.03        32.89          112.12          131.56
